,pointsAway,stopLoss,trailingStop,breakevenTrigger,breakevenDistance,maxSlippage,iip_est,fd_est,pnc_est,gainRate,score,prob
57880,3.5303203404753782,2.8853998118144273,3.192996118263379,7.90569415042095,4.5861254025809615,50.0,True,1220.8943593406593,7.0,0.22089435934065937,0.5844315408323224,6.441533059236238e-05
14497,3.9894899933386045,2.0,1.8613847597739017,7.90569415042095,0.5,50.0,True,1034.1629717354283,4.0,0.03416297173542837,0.06832594347085674,9.962314678037544e-06
59101,3.7528892431840113,2.8853998118144273,8.434326653017491,7.90569415042095,0.5,50.0,True,1197.5483272175536,7.0,0.19754832721755355,0.5226637457344591,5.76073596612868e-05
36717,17.304400643645934,2.0,11.659173333328571,12.500000000000002,2.1908902300206647,50.0,True,1102.4470882388853,4.034285714285714,0.10244708823888526,0.20577042071715215,2.987474681033209e-05
147922,3.5303203404753782,6.005622169907157,3.556893304490063,12.500000000000002,4.5861254025809615,50.0,True,1092.3223650397804,7.0,0.09232236503978042,0.24426201834458278,2.6922261314671664e-05
58454,3.5303203404753782,2.8853998118144273,17.953848175500134,7.90569415042095,1.0466351393921056,50.0,True,1313.9406892551892,6.548571428571428,0.31394068925518925,0.8033797707188467,9.154870837412466e-05
9852,2.7644426501872545,2.0,17.953848175500134,7.90569415042095,0.0,50.0,True,1034.5945476551228,4.0,0.03459454765512282,0.06918909531024564,1.008816716981597e-05
59650,3.9894899933386045,2.8853998118144273,2.8663283766131005,12.500000000000002,4.5861254025809615,50.0,True,1025.7587769142365,4.0,0.025758776914236448,0.051517553828472895,7.5115550054701545e-06
101616,3.123998738481456,4.162766037009366,16.117033215445485,7.90569415042095,0.0,50.0,True,1134.1172080882352,6.279999999999999,0.13411720808823513,0.336096760135835,3.911011726562513e-05
12152,3.3209511122689697,2.0,5.477225575051661,4.999999999999999,1.0466351393921056,50.0,True,1209.6227176739926,7.0,0.20962271767399265,0.5546095801148886,6.112839050731812e-05
103920,3.7528892431840113,4.162766037009366,4.916863819872198,7.90569415042095,0.0,50.0,True,1097.5599663024066,7.0,0.09755996630240649,0.2581194087520092,2.8449605959641654e-05
